student_id,student_name,TransportMeans,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,WklyStudyHours_num,MathScore,ReadingScore,WritingScore,TotalPerformance
1,Beth Higgins,school_bus,bachelor's degree,standard,none,married,regularly,yes,3,2.5,71,71,74,medium
2,Marcia Perez,school_bus,some college,standard,none,married,sometimes,yes,0,7.5,69,90,88,medium
3,Christine Nichols,school_bus,master's degree,standard,none,single,sometimes,yes,4,2.5,87,93,91,high
4,Tim Thomas,school_bus,associate's degree,free/reduced,none,married,never,no,1,7.5,45,56,42,low
5,Julie Gutierrez,school_bus,some college,standard,none,married,sometimes,yes,0,7.5,76,78,75,medium
6,Johnny Miller,school_bus,associate's degree,standard,none,married,regularly,yes,1,7.5,73,84,79,medium
7,Jay Diaz,private,some college,standard,completed,widowed,never,no,1,7.5,85,93,89,high
8,Ricardo Gregory,private,some college,free/reduced,none,married,sometimes,yes,1,11,41,43,39,low
9,Shawn Sanchez,private,high school,free/reduced,completed,single,sometimes,no,3,11,65,64,68,low
10,Robert Solomon,private,high school,free/reduced,none,married,regularly,yes,2,2.5,37,59,50,low
11,Keith Mata,private,associate's degree,standard,none,married,sometimes,yes,1,7.5,58,54,52,low
12,Andrew Moore,school_bus,associate's degree,standard,none,divorced,sometimes,yes,1,7.5,40,52,43,low
13,Audrey Carter,private,high school,standard,none,married,regularly,no,1,7.5,66,82,74,medium
14,Maria Zhang,private,some college,standard,completed,single,sometimes,yes,1,11,80,73,71,medium
15,Walter Miller,private,master's degree,standard,none,divorced,sometimes,yes,2,2.5,48,53,58,low
16,John Moore,private,some high school,standard,none,married,sometimes,yes,0,7.5,69,75,78,medium
17,Tiffany Graham,school_bus,high school,standard,none,married,sometimes,yes,0,7.5,88,89,86,high
18,John Jackson,school_bus,some high school,free/reduced,none,divorced,sometimes,yes,1,7.5,18,32,28,low
19,Jeanette Reed,private,master's degree,free/reduced,completed,single,sometimes,no,1,7.5,46,42,47,low
20,Erin Simon,private,associate's degree,free/reduced,none,married,never,yes,3,2.5,50,56,58,low
21,Paul Peters,school_bus,high school,standard,none,married,sometimes,yes,5,7.5,66,69,63,low
22,Kenneth Parker,school_bus,some college,free/reduced,completed,married,sometimes,no,2,7.5,65,75,70,medium
23,Mary Summers,school_bus,some college,standard,none,married,never,yes,5,7.5,42,53,51,low
24,Richard Chase,school_bus,some high school,standard,none,divorced,never,no,3,7.5,66,71,71,low
25,Randy Newman,school_bus,some college,free/reduced,completed,married,sometimes,yes,2,7.5,74,71,80,medium
26,Adriana Wolf,school_bus,master's degree,free/reduced,none,married,regularly,yes,1,7.5,75,76,76,medium
27,Lauren Phillips,school_bus,some college,standard,none,married,sometimes,yes,5,2.5,66,53,53,low
28,Martin Ellis,school_bus,bachelor's degree,standard,none,married,sometimes,yes,4,11,69,70,76,medium
29,Gordon Matthews,private,high school,standard,none,married,sometimes,no,1,7.5,70,70,65,low
30,Tonya Lawrence,private,some college,standard,none,single,sometimes,yes,0,2.5,66,72,72,medium
31,Rodney Barnes,school_bus,some college,standard,none,single,sometimes,yes,5,7.5,63,65,61,low
32,Jason Perez,school_bus,master's degree,free/reduced,none,divorced,sometimes,yes,1,7.5,56,73,66,low
33,Jesse Kim,private,some college,standard,none,married,sometimes,no,2,7.5,40,42,38,low
34,Rachel Macias,school_bus,some college,standard,none,divorced,sometimes,yes,0,7.5,97,87,82,high
35,Christopher Vaughn,school_bus,associate's degree,standard,completed,single,sometimes,no,2,7.5,81,81,79,medium
36,Anthony Hall,private,associate's degree,standard,none,married,regularly,no,2,7.5,76,82,85,medium
37,Russell Allison,private,some high school,free/reduced,none,married,regularly,yes,1,7.5,51,64,60,low
38,Tiffany Flowers,school_bus,associate's degree,free/reduced,completed,married,regularly,no,1,7.5,77,91,90,high
39,Monica Lopez,school_bus,associate's degree,free/reduced,none,single,regularly,yes,5,7.5,58,56,58,low
40,Kimberly Torres,school_bus,associate's degree,free/reduced,none,married,never,yes,0,7.5,53,60,52,low
41,Brittany Mcknight,school_bus,associate's degree,standard,none,divorced,regularly,no,1,7.5,59,74,69,low
42,Lisa Stuart,school_bus,some college,free/reduced,none,married,regularly,yes,3,7.5,60,65,67,low
43,Wendy Burns,school_bus,associate's degree,free/reduced,none,married,sometimes,yes,5,2.5,48,55,52,low
44,Anthony Castillo,school_bus,associate's degree,standard,none,single,sometimes,yes,3,2.5,63,53,55,low
45,Jonathan Wright,private,high school,standard,none,married,regularly,yes,2,7.5,67,72,77,medium
46,Lindsay Wagner,school_bus,high school,standard,completed,married,sometimes,yes,3,7.5,82,84,82,medium
47,Robert Thomas,school_bus,some college,standard,none,married,sometimes,no,3,11,54,55,48,low
48,Heather Allen,private,associate's degree,free/reduced,completed,married,regularly,no,2,2.5,76,68,68,medium
49,Diane Smith,school_bus,some college,standard,none,divorced,regularly,yes,3,11,56,45,43,low
50,Monica Thompson,school_bus,high school,standard,none,single,sometimes,yes,2,7.5,88,78,75,medium
51,Lisa James,private,some high school,free/reduced,completed,married,regularly,yes,2,11,75,86,90,medium
52,Barbara Robinson,private,high school,free/reduced,none,divorced,sometimes,yes,2,7.5,33,41,43,low
53,Steve Ryan,school_bus,associate's degree,standard,completed,married,sometimes,yes,3,11,84,86,87,high
54,Justin Gonzalez,private,associate's degree,standard,none,single,sometimes,no,2,7.5,52,55,49,low
55,Joseph Cordova,private,some college,standard,completed,married,regularly,no,1,11,61,60,60,low
56,George Webb,school_bus,some high school,free/reduced,none,single,regularly,yes,3,11,0,17,10,low
57,Robert Harper,school_bus,some high school,free/reduced,none,married,sometimes,yes,2,7.5,39,39,34,low
58,Travis Estrada,private,associate's degree,free/reduced,none,married,sometimes,yes,5,7.5,62,61,55,low
59,Eric Blankenship,school_bus,some high school,standard,none,married,sometimes,yes,0,7.5,59,58,59,low
60,Melissa Castillo,private,some high school,standard,none,married,never,yes,1,2.5,63,62,58,low
61,Kathy Hogan,school_bus,some high school,free/reduced,none,married,sometimes,yes,4,7.5,45,37,37,low
62,Ana Lopez,school_bus,some college,standard,none,married,regularly,no,3,7.5,61,73,75,medium
63,Brent Huynh,school_bus,associate's degree,free/reduced,none,divorced,regularly,no,3,7.5,62,58,57,low
64,Tyler Davis,school_bus,associate's degree,standard,none,single,sometimes,yes,3,7.5,39,64,57,low
65,Steven Kane,private,some college,standard,completed,divorced,sometimes,yes,3,11,64,55,64,low
66,Joyce Golden,private,associate's degree,free/reduced,none,single,regularly,yes,1,7.5,42,51,49,low
67,Ashley Walker,school_bus,some high school,free/reduced,none,divorced,never,yes,3,7.5,59,56,54,low
68,Christina Lopez,private,some high school,standard,none,married,sometimes,yes,2,2.5,47,48,40,low
69,Jason Alvarado,school_bus,associate's degree,free/reduced,none,divorced,sometimes,no,2,7.5,44,41,38,low
70,Phillip Wyatt,school_bus,some high school,standard,none,married,sometimes,no,5,7.5,28,25,21,low
71,Teresa Roth,school_bus,some college,standard,completed,married,regularly,yes,2,7.5,82,79,83,medium
72,Nicholas Ortiz,school_bus,some high school,standard,completed,divorced,sometimes,yes,2,11,62,75,73,medium
73,Jo Haley,school_bus,master's degree,standard,none,divorced,never,yes,1,7.5,60,68,68,low
74,Amanda Ramos,private,associate's degree,standard,none,married,regularly,yes,0,11,49,50,52,low
75,Robin Travis,private,high school,free/reduced,none,married,sometimes,yes,0,7.5,49,45,45,low
76,Ryan Zimmerman,school_bus,some college,free/reduced,completed,married,sometimes,no,2,7.5,50,47,54,low
77,Christopher Hood,private,associate's degree,standard,none,married,regularly,yes,0,7.5,74,64,64,low
78,Rodney Harrison,private,high school,free/reduced,none,married,never,yes,3,7.5,40,38,33,low
79,Belinda Gonzalez,private,some college,standard,none,divorced,sometimes,yes,0,7.5,73,80,82,medium
80,Katherine Simon,school_bus,some college,free/reduced,none,married,sometimes,yes,2,2.5,73,81,86,medium
81,Rachel Santana,private,associate's degree,standard,none,single,sometimes,yes,0,7.5,71,71,74,medium
82,Justin Houston,school_bus,some college,standard,none,divorced,regularly,yes,3,2.5,57,69,67,low
83,Rebecca Dunn,private,some high school,standard,none,single,sometimes,yes,2,11,75,87,83,medium
84,Robert Spencer,school_bus,high school,free/reduced,none,divorced,regularly,no,4,7.5,27,34,36,low
85,Daniel Dickerson,school_bus,high school,standard,none,divorced,sometimes,no,1,2.5,68,77,69,medium
86,Daniel Williams,private,associate's degree,free/reduced,completed,married,regularly,no,3,11,45,46,52,low
87,Holly Sanchez,private,some college,standard,none,married,regularly,yes,4,7.5,81,87,94,high
88,Jeff Shaffer,school_bus,some high school,standard,completed,married,regularly,yes,5,7.5,63,65,61,low
89,Casey Perez,school_bus,some college,standard,completed,married,never,yes,0,2.5,59,69,66,low
90,Kristie Lawrence,school_bus,some college,free/reduced,none,single,regularly,yes,2,11,61,69,64,low
91,Patricia Durham,school_bus,bachelor's degree,standard,none,married,regularly,yes,3,2.5,64,66,62,low
92,Lindsay Sexton,school_bus,some college,standard,none,married,sometimes,no,7,7.5,79,67,67,medium
93,Nicholas Sherman,private,bachelor's degree,standard,completed,single,sometimes,no,1,7.5,68,74,74,medium
94,Brent White,school_bus,associate's degree,standard,none,married,regularly,yes,3,7.5,87,92,91,high
95,Brian Gill,school_bus,high school,standard,completed,married,regularly,no,3,7.5,61,44,48,low
96,Jason Dennis,school_bus,some college,standard,completed,married,regularly,yes,1,11,100,88,94,high
97,Sydney Morris,school_bus,some college,standard,none,married,sometimes,yes,0,7.5,58,67,72,low
98,Jill Sharp,private,master's degree,standard,none,married,sometimes,no,3,7.5,87,100,100,high
99,Donald Bautista,school_bus,some college,standard,completed,single,sometimes,yes,0,7.5,66,63,64,low
100,Cassandra Gates,school_bus,associate's degree,free/reduced,none,married,sometimes,yes,2,7.5,52,76,70,low
101,Melanie Reyes,school_bus,some high school,standard,none,single,regularly,no,3,7.5,72,64,73,medium
102,Tina Cole,school_bus,associate's degree,free/reduced,completed,single,sometimes,yes,4,11,79,90,99,high
103,Charles Heath,school_bus,high school,standard,none,single,regularly,no,6,7.5,63,55,50,low
104,Stephanie Valencia,school_bus,associate's degree,standard,none,married,sometimes,yes,0,7.5,54,53,47,low
105,Jesse Miller,school_bus,some college,standard,none,married,never,yes,1,2.5,47,56,51,low
106,Luis Dawson,school_bus,bachelor's degree,standard,completed,married,regularly,yes,3,2.5,98,99,100,high
107,Catherine Hernandez,private,high school,standard,none,married,sometimes,yes,4,7.5,84,77,74,medium
108,James Freeman,school_bus,bachelor's degree,free/reduced,none,single,never,no,1,7.5,72,83,79,medium
109,Kayla Meadows,private,bachelor's degree,standard,none,married,never,no,2,7.5,75,80,77,medium
110,Grant Ryan,private,some high school,standard,none,single,regularly,yes,0,11,54,64,63,low
111,Rachel Gallagher,school_bus,some college,standard,none,divorced,sometimes,no,3,7.5,55,69,65,low
112,Anthony Howe,school_bus,bachelor's degree,standard,completed,married,never,yes,1,7.5,76,90,86,medium
113,Melinda Branch,school_bus,associate's degree,standard,completed,married,sometimes,yes,3,2.5,88,87,90,high
114,Douglas Kim,school_bus,some college,standard,completed,single,regularly,yes,1,7.5,90,94,95,high
115,Zachary Garcia,private,high school,free/reduced,none,married,sometimes,no,3,7.5,63,57,56,low
116,Tonya Huffman,school_bus,some college,standard,none,single,regularly,no,3,2.5,82,79,73,medium
117,Diane Williams,school_bus,high school,standard,none,single,never,yes,2,11,86,94,85,high
